Vivado Simulator 2018.2
Time resolution is 1 ps
                   0 gpio_in changed  : 0000
                   1 gpio_out changed : 000000000000000000
                   1 gpio_io changed  : zzzzzzzzzzzzzzzz
                5901 gpio_out changed : 000000000000000011
               20401 gpio_out changed : 000000000000000100
               34901 gpio_out changed : 000000000000000101
               49401 gpio_out changed : 000000000000000110
               63901 gpio_out changed : 000000000000000111
               78401 gpio_out changed : 000000000000001000
               92901 gpio_out changed : 000000000000001001
              107401 gpio_out changed : 000000000000001010
              121901 gpio_out changed : 000000000000001011
              136401 gpio_out changed : 000000000000001100
              150901 gpio_out changed : 000000000000001101
              165401 gpio_out changed : 000000000000001110
              179901 gpio_out changed : 000000000000001111
              194401 gpio_out changed : 000000000000010000
              208901 gpio_out changed : 000000000000010001
              223401 gpio_out changed : 000000000000010010
              237901 gpio_out changed : 000000000000010011
              252401 gpio_out changed : 000000000000010100
              266901 gpio_out changed : 000000000000010101
              281401 gpio_out changed : 000000000000010110
              295901 gpio_out changed : 000000000000010111
              310401 gpio_out changed : 000000000000011000
              324901 gpio_out changed : 000000000000011001
              339401 gpio_out changed : 000000000000011010
              353901 gpio_out changed : 000000000000011011
              368401 gpio_out changed : 000000000000011100
              382901 gpio_out changed : 000000000000011101
              397401 gpio_out changed : 000000000000011110
              411901 gpio_out changed : 000000000000011111
              426401 gpio_out changed : 000000000000100000
              440901 gpio_out changed : 000000000000100001
              455401 gpio_out changed : 000000000000100010
              469901 gpio_out changed : 000000000000100011
              484401 gpio_out changed : 000000000000100100
              498901 gpio_out changed : 000000000000100101
              513401 gpio_out changed : 000000000000100110
              527901 gpio_out changed : 000000000000100111
              542401 gpio_out changed : 000000000000101000
              556901 gpio_out changed : 000000000000101001
              571401 gpio_out changed : 000000000000101010
              585901 gpio_out changed : 000000000000101011
              600401 gpio_out changed : 000000000000101100
              614901 gpio_out changed : 000000000000101101
              629401 gpio_out changed : 000000000000101110
              643901 gpio_out changed : 000000000000101111
              658401 gpio_out changed : 000000000000110000
              672901 gpio_out changed : 000000000000110001
              687401 gpio_out changed : 000000000000110010
              701901 gpio_out changed : 000000000000110011
              716401 gpio_out changed : 000000000000110100
              730901 gpio_out changed : 000000000000110101
              745401 gpio_out changed : 000000000000110110
              759901 gpio_out changed : 000000000000110111
              774401 gpio_out changed : 000000000000111000
              788901 gpio_out changed : 000000000000111001
              803401 gpio_out changed : 000000000000111010
              817901 gpio_out changed : 000000000000111011
              832401 gpio_out changed : 000000000000111100
              846901 gpio_out changed : 000000000000111101
              861401 gpio_out changed : 000000000000111110
              875901 gpio_out changed : 000000000000111111
              890401 gpio_out changed : 000000000001000000
              904901 gpio_out changed : 000000000001000001
              919401 gpio_out changed : 000000000001000010
              933901 gpio_out changed : 000000000001000011
              948401 gpio_out changed : 000000000001000100
              962901 gpio_out changed : 000000000001000101
              977401 gpio_out changed : 000000000001000110
              991901 gpio_out changed : 000000000001000111
$finish called at time : 1002075 ns : File "C:/Users/cho/Desktop/SEA_AZPR/hw/rtl_sea/top/test/chip_top_test.v" Line 152
